population	latitude	longitude	Fdiv	Actyp	AcCo	AcSpT	ShAc	CxTy
VCA01	38.16	-6.65	1	1	1	3	2	1
VCA02	38.69	-3.65	1	1	1	3	2	1
VCA03	38.49	-3.72	1	1	1	3	2	1
VCA04	37.77	-6.57	1	1	1	3	2	1
VCA05	41.11	-4.39	1	1	1	3	2	1
VCA07	40.81	-3.77	1	1	1	3	2	1
VCA08	42.97	-2.58	1	1	1	3	2	1
VCA09	40.79	-3.7	1	1	1	3	2	1
VCA10	41.11	-4.39	1	1	1	3	2	1
VCA11	40.8	-6.36	1	1	1	3	2	1
VCA12	40.48	-4.04	1	1	1	3	2	1
VLO01	41.12	-4.3	1	1	1	3	2	1
VLO02	37.93	-6.31	1	1	1	3	2	1
VLO03	40.78	-3.69	1	1	1	3	2	1
VLO04	40.48	-4.04	1	1	1	3	2	1
VLO05	40.8	-6.36	1	1	1	3	2	1
VLO06	41.11	-4.39	1	1	1	3	2	1
VLU01	42.22	-3.29	1	1	1	3	2	1
VCO01	38.49	-3.72	1	1	2	2	2	2
VCO02	39.73	-2.49	1	1	2	2	2	2
VCO03	39.62	-2.42	1	1	2	2	2	2
VCO04	40.29	-3.44	1	1	2	2	2	2
VCO05	40.49	-6.58	1	1	2	2	2	2
VCO06	41.37	-4.04	1	1	2	2	2	2
VCO07	42.31	-0.44	1	1	2	2	2	2
VCO08	39.73	-2.49	1	1	2	2	2	2
VCO09	41.93	0.32	1	1	2	2	2	2
VPU01	39.73	-2.49	1	1	2	2	2	2
VPU02	41.93	0.32	1	1	2	2	2	2
VPU03	41.53	-0.58	1	1	2	2	2	2
VPU04	41.9	-0.31	1	1	2	2	2	2
VDE01	42.81	-3.18	1	1	2	2	1	3
VDE02	42.3	-0.17	1	1	2	2	1	3
VDE03	42.51	-0.66	1	1	2	2	1	3
VDE04	42.59	0.34	1	1	2	2	1	3
VDE05	42.43	0.67	1	1	2	2	1	3
VRI01	42.59	0.34	1	1	2	2	1	3
VDI01	38.64	-7.06	1	1	2	2	2	2
VDI02	38.82	-6.82	1	1	2	2	2	2
VDI03	37.96	-4.54	1	1	2	2	2	2
VDI04	39.62	-2.42	1	1	2	2	2	2
VDI05	40.02	-1.49	1	1	2	2	2	2
VDI06	37.93	-6.71	1	1	2	2	2	2
VDI07	40.29	-3.44	1	1	2	2	2	2
VDI08	41.21	-4.47	1	1	2	2	2	2
VER01	38.82	-6.82	1	1	2	2	1	3
VER02	38.92	-5.8	1	1	2	2	1	3
VER03	40.29	-3.44	1	1	2	2	1	3
VER04	41.21	-4.47	1	1	2	2	1	3
VEC01	40.83	-2.96	2	2	2	1	2	4
