population latitude longitude 
VCA01 38.16 -6.65 
VCA02 38.69 -3.65 
VCA03 38.49 -3.72 
VCA04 37.77 -6.57 
VCA05 41.11 -4.39 
VCA07 40.81 -3.77 
VCA08 42.97 -2.58 
VCA09 40.79 -3.7 
VCA10 41.11 -4.39 
VCA11 40.8 -6.36 
VCA12 40.48 -4.04 
VLO01 41.12 -4.3 
VLO02 37.93 -6.31 
VLO03 40.78 -3.69 
VLO04 40.48 -4.04 
VLO05 40.8 -6.36 
VLO06 41.11 -4.39 
VLU01 42.22 -3.29 
VCO01 38.49 -3.72 
VCO02 39.73 -2.49 
VCO03 39.62 -2.42 
VCO04 40.29 -3.44 
VCO05 40.49 -6.58 
VCO06 41.37 -4.04 
VCO07 42.31 -0.44 
VCO08 39.73 -2.49 
VCO09 41.93 0.32 
VPU01 39.73 -2.49 
VPU02 41.93 0.32 
VPU03 41.53 -0.58 
VPU04 41.9 -0.31 
VDE01 42.81 -3.18 
VDE02 42.3 -0.17 
VDE03 42.51 -0.66 
VDE04 42.59 0.34 
VDE05 42.43 0.67 
VRI01 42.59 0.34 
VDI01 38.64 -7.06 
VDI02 38.82 -6.82 
VDI03 37.96 -4.54 
VDI04 39.62 -2.42 
VDI05 40.02 -1.49 
VDI06 37.93 -6.71 
VDI07 40.29 -3.44 
VDI08 41.21 -4.47 
VER01 38.82 -6.82 
VER02 38.92 -5.8 
VER03 40.29 -3.44 
VER04 41.21 -4.47 
VEC01 40.83 -2.96 
