population	Fdiv Actyp AcCo AcSpT ShAc CxTy
VCA01 1 1 1 3 2 1
VCA02 1 1 1 3 2 1
VCA03 1 1 1 3 2 1
VCA04 1 1 1 3 2 1
VCA05 1 1 1 3 2 1
VCA07 1 1 1 3 2 1
VCA08 1 1 1 3 2 1
VCA09 1 1 1 3 2 1
VCA10 1 1 1 3 2 1
VCA11 1 1 1 3 2 1
VCA12 1 1 1 3 2 1
VLO01 1 1 1 3 2 1
VLO02 1 1 1 3 2 1
VLO03 1 1 1 3 2 1
VLO04 1 1 1 3 2 1
VLO05 1 1 1 3 2 1
VLO06 1 1 1 3 2 1
VLU01 1 1 1 3 2 1
VCO01 1 1 2 2 2 2
VCO02 1 1 2 2 2 2
VCO03 1 1 2 2 2 2
VCO04 1 1 2 2 2 2
VCO05 1 1 2 2 2 2
VCO06 1 1 2 2 2 2
VCO07 1 1 2 2 2 2
VCO08 1 1 2 2 2 2
VCO09 1 1 2 2 2 2
VPU01 1 1 2 2 2 2
VPU02 1 1 2 2 2 2
VPU03 1 1 2 2 2 2
VPU04 1 1 2 2 2 2
VDE01 1 1 2 2 1 3
VDE02 1 1 2 2 1 3
VDE03 1 1 2 2 1 3
VDE04 1 1 2 2 1 3
VDE05 1 1 2 2 1 3
VRI01 1 1 2 2 1 3
VDI01 1 1 2 2 2 2
VDI02 1 1 2 2 2 2
VDI03 1 1 2 2 2 2
VDI04 1 1 2 2 2 2
VDI05 1 1 2 2 2 2
VDI06 1 1 2 2 2 2
VDI07 1 1 2 2 2 2
VDI08 1 1 2 2 2 2
VER01 1 1 2 2 1 3
VER02 1 1 2 2 1 3
VER03 1 1 2 2 1 3
VER04 1 1 2 2 1 3
VEC01 2 2 2 1 2 4
